id,nom,ville,quartier,telephone,bp,horaires,services,proprietaire,type_etablissement,fax
LBV070,Pharmacie Espérance des Cocotiers,Libreville,Après station Nkembo,077 67 53 48,,Horaires standards,Service courant,,Pharmacie générale,
PG001,Pharmacie Banco,Port-Gentil,"Boulevard Léon Mba, Carrefour Banco",011 55 50 45 / 074 61 77 12,1527,Horaires standards,"Allopathie, Homéopathie, Aromathérapie, Phytothérapie, Parfumerie",Dr Rebienot Pellégrin Olivier,Pharmacie générale,
PG002,Pharmacie Centrale,Port-Gentil,Parking Rétro,011 55 21 64 / 01 55 21 64,640,Horaires standards,Service courant,Mr Poyet,Pharmacie générale,
PG003,Pharmacie du Boulevard,Port-Gentil,Boulevard Léon Mba,011 53 11 03 / 043 34 113,1922,Horaires standards,Service courant,Dr Annick Divounguy,Pharmacie générale,
PG004,Pharmacie du Cap,Port-Gentil,"Centre-ville, Galerie Casino",011 55 26 80,,Horaires standards,Service courant,,Pharmacie générale,
PG005,Pharmacie du Grand Village,Port-Gentil,"Grand Village, Rue principale",011 55 34 83,,Horaires standards,"Service courant, Réputée",,Pharmacie générale,
PG006,Pharmacie Radoca,Port-Gentil,Quartier la Balise,011 55 10 72,,Horaires standards,Service courant,,Pharmacie générale,
PG007,Pharmacie Von'Okuwa,Port-Gentil,"Centre-ville, Près Hôtel Mandji",011 55 55 32,1794,Horaires standards,Service courant,,Pharmacie générale,011 55 55 32
PG008,Pharmacie Andrea,Port-Gentil,Boulevard Léon Mba,022 62 666 / 07 07 03 97 96,1228,Horaires standards,Service courant,Dr Andrea Olivier,Pharmacie générale,
FV001,Pharmacie du Plateau,Franceville,Quartier Potos,06 77 502,,Horaires standards,Service courant,,Pharmacie générale,
FV002,Pharmacie Moderne,Franceville,Rue des Maquis,,,Horaires standards,Service courant,,Pharmacie générale,
MK001,Pharmacie du Marché Central,Makokou,Marché Central,077 13 30 89,,Horaires standards,Service courant,,Pharmacie générale,
KM001,Dépôt Pharmaceutique des Forestiers,Koulamoutou,Koulamoutou,011 65 50 08,100,Lun-Sam: 7h30-20h,Dépôt pharmaceutique,,Dépôt pharmaceutique,
NT001,Pharmacie Clementine,Ntom,Ntom,062 57 76 22,,Horaires standards,Service courant,Ambolo Kanga Chelsy Michelle,Pharmacie générale,
MD001,Dépôt Phar. Boundama,Moanda,Moanda,02 66 85 3 / 026 68 53,,Horaires standards,Dépôt pharmaceutique,Chami Frederic R,Dépôt pharmaceutique,066 11 19
MD002,Pharmacie de Moanda,Moanda,Moanda,028 27 15,2372,Horaires standards,Service courant,,Pharmacie générale,
OY001,Pharmacie Pascale Magalie Nfoumou,Oyem,Oyem,077 84 50 61,1207,Horaires standards,Service courant,Ndoumou Obame Daniel,Pharmacie générale,075 19 02 81
ML001,Pharmacie Bangolouis,Mouila,Mouila,074 41 96 16,162,Horaires standards,Service courant,Dr Mahoumbou Aude Felicia,Pharmacie générale,
